cluster size,number of clusters
1,0
101,1
383,1
890,1
394,1
248,1
820,1
365,1
255,1
311,1
179,1
78,1
460,1
171,1
24,1
138,1
348,1
79,1
18,2
84,1
41,1
90,1
15,1
13,1
9,1
7,2
6,1
54,1
10,1
