cluster size,number of clusters
1,0
101,1
403,1
536,1
1034,1
311,1
366,1
598,1
391,1
187,1
78,1
460,1
171,1
24,1
149,1
104,1
348,1
19,1
81,1
41,1
90,1
13,1
9,1
7,2
6,1
18,1
54,1
10,1
