cluster size,number of clusters
1,0
97,1
370,1
749,1
539,1
269,1
336,1
364,1
410,1
311,1
203,1
78,1
220,1
248,1
24,1
213,1
153,1
79,2
211,1
19,1
41,1
90,1
13,1
9,2
7,2
380,1
6,1
18,1
54,1
10,1
