Response	Gene_ENSEMBL_ID	quantitative_sorting_score	visualization_score	baseline_score	Percent_appearing_in_restart_set
Doxorubicin	ENSG00000117461	12992.71	0.82560175	0.06115878	0.0
Doxorubicin	ENSG00000206181	12990.62	0.82546108	0.05932771	0.0
Doxorubicin	ENSG00000162437	12990.13	0.82542811	-0.13659889	0.21
Doxorubicin	ENSG00000110076	12988.42	0.82531302	0.0240074	0.0
Doxorubicin	ENSG00000164548	12986.86	0.82520802	-0.05800745	0.0
Doxorubicin	ENSG00000138798	12985.92	0.82514475	0.05943586	0.0
Doxorubicin	ENSG00000233276	12977.97	0.82460969	-0.02302821	0.0
Doxorubicin	ENSG00000169760	12975.87	0.82446835	0.01523665	0.0
Doxorubicin	ENSG00000116497	12974.51	0.82437681	-0.13173939	0.22
Doxorubicin	ENSG00000144452	12969.44	0.82403558	0.03345264	0.0
Doxorubicin	ENSG00000138071	12966.62	0.82384578	-0.0718205	0.0
Doxorubicin	ENSG00000104835	12965.23	0.82375223	0.00708398	0.0
Doxorubicin	ENSG00000174562	12964.62	0.82371117	0.01326665	0.0
Doxorubicin	ENSG00000269858	12964.44	0.82369906	0.02980064	0.0
Doxorubicin	ENSG00000001630	12959.3	0.82335311	0.1539875	0.62
Doxorubicin	ENSG00000138135	12958.12	0.82327369	0.00932382	0.0
Doxorubicin	ENSG00000087088	12957.59	0.82323802	-0.03231365	0.0
Doxorubicin	ENSG00000255974	12945.93	0.82245326	0.04846193	0.0
Doxorubicin	ENSG00000173273	12944.44	0.82235297	-0.0348204	0.0
Doxorubicin	ENSG00000162772	12941.27	0.82213962	-0.05469339	0.0
Doxorubicin	ENSG00000154262	12935.34	0.8217405	0.03130954	0.0
Doxorubicin	ENSG00000120925	12934.56	0.82168801	-0.0556934	0.0
Doxorubicin	ENSG00000095564	12929.48	0.8213461	-0.16536587	0.76
Doxorubicin	ENSG00000148180	12928.28	0.82126533	-0.00227547	0.0
Doxorubicin	ENSG00000141338	12912.48	0.82020193	-0.06898216	0.0
Doxorubicin	ENSG00000036828	12909.46	0.81999867	0.11066926	0.03
Doxorubicin	ENSG00000069345	12905.58	0.81973753	-0.03477598	0.0
Doxorubicin	ENSG00000114745	12898.6	0.81926774	0.09266722	0.0
Doxorubicin	ENSG00000015475	12897.72	0.81920851	-0.10557929	0.0
Doxorubicin	ENSG00000090615	12897.67	0.81920515	0.09272674	0.0
Doxorubicin	ENSG00000140505	12896.69	0.81913919	0.0093028	0.0
Doxorubicin	ENSG00000175592	12892.07	0.81882825	-0.02344186	0.0
Doxorubicin	ENSG00000183495	12890.11	0.81869633	-0.04589255	0.0
Doxorubicin	ENSG00000196616	12883.64	0.81826087	0.0668446	0.0
Doxorubicin	ENSG00000184185	12876.97	0.81781195	-0.00116368	0.0
Doxorubicin	ENSG00000073803	12876.84	0.8178032	0.14917726	0.51
Doxorubicin	ENSG00000128872	12867.14	0.81715035	0.00095793	0.0
Doxorubicin	ENSG00000154265	12858.19	0.81654798	0.02026186	0.0
Doxorubicin	ENSG00000180176	12850.06	0.81600079	-0.00694639	0.0
Doxorubicin	ENSG00000058063	12848.13	0.81587089	-0.13768313	0.26
Doxorubicin	ENSG00000102890	12844.92	0.81565485	0.11163837	0.06
Doxorubicin	ENSG00000166261	12844.07	0.81559764	-0.14941818	0.45
Doxorubicin	ENSG00000165269	12842.36	0.81548255	0.06821243	0.0
Doxorubicin	ENSG00000134285	12839.18	0.81526852	-0.01902087	0.0
Doxorubicin	ENSG00000111674	12836.08	0.81505988	0.01302028	0.0
Doxorubicin	ENSG00000149177	12835.44	0.8150168	0.03017359	0.0
Doxorubicin	ENSG00000125630	12835.23	0.81500267	0.00965761	0.0
Doxorubicin	ENSG00000110436	12832.4	0.8148122	0.03766438	0.0
Doxorubicin	ENSG00000014914	12830.83	0.81470653	0.02964988	0.0
Doxorubicin	ENSG00000064687	12830.3	0.81467086	0.0702627	0.0
Doxorubicin	ENSG00000185883	12829.13	0.81459211	0.16062718	0.79
Doxorubicin	ENSG00000164190	12820.48	0.81400993	-0.0511334	0.0
Doxorubicin	ENSG00000078902	12817.08	0.8137811	0.01254077	0.0
Doxorubicin	ENSG00000143367	12816.27	0.81372658	0.08845675	0.0
Doxorubicin	ENSG00000131196	12810.55	0.8133416	-0.10440717	0.01
Doxorubicin	ENSG00000165732	12809.78	0.81328977	-0.12420138	0.1
Doxorubicin	ENSG00000086598	12803.7	0.81288056	0.16229992	0.78
Doxorubicin	ENSG00000126067	12802.9	0.81282672	0.03126526	0.0
Doxorubicin	ENSG00000110321	12800.65	0.81267529	-0.05078122	0.0
Doxorubicin	ENSG00000147044	12795.98	0.81236097	0.07514255	0.0
Doxorubicin	ENSG00000067955	12794.94	0.81229098	-0.09435001	0.0
Doxorubicin	ENSG00000082258	12792.03	0.81209512	-0.06879645	0.0
Doxorubicin	ENSG00000112130	12791.34	0.81204868	-0.05766697	0.0
Doxorubicin	ENSG00000140465	12779.0	0.81121815	0.01168106	0.0
Doxorubicin	ENSG00000113615	12777.3	0.81110373	0.1152233	0.04
Doxorubicin	ENSG00000025770	12769.11	0.81055251	0.02173876	0.0
Doxorubicin	ENSG00000150593	12758.49	0.80983774	-0.00488207	0.0
Doxorubicin	ENSG00000198648	12755.58	0.80964188	0.00256522	0.0
Doxorubicin	ENSG00000171759	12753.38	0.80949381	0.00491461	0.0
Doxorubicin	ENSG00000138794	12747.5	0.80909806	-0.02036801	0.0
Doxorubicin	ENSG00000149016	12745.29	0.80894932	0.03682	0.0
Doxorubicin	ENSG00000108590	12745.06	0.80893384	0.07375704	0.0
Doxorubicin	ENSG00000123353	12740.44	0.80862289	0.05480067	0.0
Doxorubicin	ENSG00000063601	12739.4	0.8085529	-0.09015027	0.0
Doxorubicin	ENSG00000124217	12734.42	0.80821772	-0.02744395	0.0
Doxorubicin	ENSG00000137198	12732.65	0.80809859	-0.01529321	0.0
Doxorubicin	ENSG00000181788	12732.2	0.80806831	-0.03765426	0.0
Doxorubicin	ENSG00000066044	12731.97	0.80805283	-0.16436058	0.75
Doxorubicin	ENSG00000166387	12731.91	0.80804879	0.15326109	0.57
Doxorubicin	ENSG00000186115	12730.95	0.80798418	0.04537565	0.0
Doxorubicin	ENSG00000243708	12730.75	0.80797071	-0.0043046	0.0
Doxorubicin	ENSG00000096872	12728.53	0.8078213	-0.13072436	0.18
Doxorubicin	ENSG00000096088	12727.28	0.80773717	0.05517006	0.0
Doxorubicin	ENSG00000143995	12726.57	0.80768938	-0.00785003	0.0
Doxorubicin	ENSG00000107331	12726.21	0.80766515	0.08117613	0.0
Doxorubicin	ENSG00000166986	12722.82	0.80743699	-0.09404635	0.0
Doxorubicin	ENSG00000171551	12719.85	0.8072371	0.01311571	0.0
Doxorubicin	ENSG00000168884	12719.38	0.80720546	-0.05603217	0.0
Doxorubicin	ENSG00000124574	12717.62	0.80708701	-0.03821328	0.0
Doxorubicin	ENSG00000170348	12714.74	0.80689317	-0.03557028	0.0
Doxorubicin	ENSG00000148429	12702.64	0.80607879	-0.06391884	0.0
Doxorubicin	ENSG00000073067	12702.45	0.806066	0.0900453	0.0
Doxorubicin	ENSG00000114209	12701.0	0.80596841	-0.07630403	0.0
Doxorubicin	ENSG00000148308	12699.44	0.80586342	-0.03705434	0.0
Doxorubicin	ENSG00000122481	12696.29	0.80565141	-0.1294041	0.08
Doxorubicin	ENSG00000043039	12689.8	0.8052146	-0.01163898	0.0
Doxorubicin	ENSG00000073792	12684.0	0.80482424	-0.09860954	0.01
Doxorubicin	ENSG00000187048	12678.38	0.80444599	-0.03079022	0.0
Doxorubicin	ENSG00000144524	12676.49	0.80431878	-0.07229333	0.0
Doxorubicin	ENSG00000120889	12674.81	0.80420571	-0.10382762	0.0
Doxorubicin	ENSG00000135452	12673.75	0.80413437	-0.10048987	0.05
Doxorubicin	ENSG00000140395	12672.44	0.8040462	-0.0435766	0.0
Doxorubicin	ENSG00000084463	12671.56	0.80398697	-0.01751104	0.0
Doxorubicin	ENSG00000144908	12670.14	0.8038914	0.00515335	0.0
Doxorubicin	ENSG00000196154	12660.93	0.80327153	-0.0046858	0.0
Doxorubicin	ENSG00000134440	12658.29	0.80309384	0.04583091	0.0
Doxorubicin	ENSG00000175315	12656.9	0.80300029	-0.06698818	0.0
Doxorubicin	ENSG00000129521	12653.59	0.80277751	0.16106841	0.77
Doxorubicin	ENSG00000102531	12652.61	0.80271156	-0.11515497	0.04
Doxorubicin	ENSG00000257341	12651.73	0.80265233	-0.00790284	0.0
Doxorubicin	ENSG00000170477	12651.08	0.80260858	-0.03617269	0.0
Doxorubicin	ENSG00000136155	12647.63	0.80237638	-0.07467762	0.0
Doxorubicin	ENSG00000184254	12646.72	0.80231513	-0.03958641	0.0
Doxorubicin	ENSG00000081051	12643.4	0.80209168	0.06246885	0.0
Doxorubicin	ENSG00000108846	12643.16	0.80207553	0.08832579	0.01
Doxorubicin	ENSG00000115226	12642.42	0.80202573	-0.0896169	0.0
Doxorubicin	ENSG00000076685	12636.0	0.80159363	-0.1037849	0.03
Doxorubicin	ENSG00000119326	12635.18	0.80153844	-0.02888154	0.0
Doxorubicin	ENSG00000132970	12633.39	0.80141797	-0.01302065	0.0
Doxorubicin	ENSG00000103569	12631.55	0.80129413	0.00751901	0.0
Doxorubicin	ENSG00000065970	12629.53	0.80115817	0.00258241	0.0
Doxorubicin	ENSG00000033867	12629.46	0.80115346	0.02501721	0.0
Doxorubicin	ENSG00000109065	12625.33	0.80087549	0.01610474	0.0
Doxorubicin	ENSG00000109685	12620.87	0.80057532	-0.04882001	0.0
Doxorubicin	ENSG00000117569	12620.84	0.8005733	-0.06542136	0.0
Doxorubicin	ENSG00000150967	12619.54	0.8004858	-0.00024759	0.0
Doxorubicin	ENSG00000110841	12617.57	0.80035321	-0.02165962	0.0
Doxorubicin	ENSG00000205758	12610.22	0.79985853	-0.04856975	0.0
Doxorubicin	ENSG00000126903	12605.33	0.79952941	0.01478863	0.0
Doxorubicin	ENSG00000105143	12601.16	0.79924875	0.06336403	0.0
Doxorubicin	ENSG00000196344	12599.81	0.79915789	0.01386759	0.0
Doxorubicin	ENSG00000205302	12598.66	0.79908049	-0.06169936	0.0
Doxorubicin	ENSG00000162851	12598.3	0.79905626	-0.09126294	0.01
Doxorubicin	ENSG00000153707	12596.5	0.79893511	-0.03245565	0.0
Doxorubicin	ENSG00000076864	12591.8	0.79861878	0.08219613	0.0
Doxorubicin	ENSG00000100075	12591.26	0.79858244	0.14196166	0.28
Doxorubicin	ENSG00000158258	12585.06	0.79816515	0.01213245	0.0
Doxorubicin	ENSG00000086159	12581.87	0.79795045	0.08017215	0.0
Doxorubicin	ENSG00000132670	12580.93	0.79788718	-0.0036669	0.0
Doxorubicin	ENSG00000115541	12579.6	0.79779767	-0.00964222	0.0
Doxorubicin	ENSG00000143149	12577.49	0.79765566	0.00454517	0.0
Doxorubicin	ENSG00000126709	12573.42	0.79738173	-0.01955347	0.0
Doxorubicin	ENSG00000198034	12572.84	0.79734269	-0.02962815	0.0
Doxorubicin	ENSG00000103375	12565.78	0.79686752	-0.01750041	0.0
Doxorubicin	ENSG00000111339	12565.65	0.79685877	-0.01970977	0.0
Doxorubicin	ENSG00000153976	12565.65	0.79685877	0.00048948	0.0
Doxorubicin	ENSG00000187837	12565.55	0.79685204	0.0180709	0.0
Doxorubicin	ENSG00000102144	12564.41	0.79677532	0.07297977	0.0
Doxorubicin	ENSG00000221823	12564.13	0.79675647	0.03353737	0.0
Doxorubicin	ENSG00000165912	12563.4	0.79670734	0.0017491	0.0
Doxorubicin	ENSG00000081019	12562.54	0.79664946	-0.04060404	0.0
Doxorubicin	ENSG00000170950	12555.07	0.79614669	0.01287842	0.0
Doxorubicin	ENSG00000158985	12554.93	0.79613727	-0.02926667	0.0
Doxorubicin	ENSG00000131094	12552.36	0.7959643	0.02473808	0.0
Doxorubicin	ENSG00000104497	12552.36	0.7959643	-0.08104425	0.0
Doxorubicin	ENSG00000145545	12552.36	0.7959643	-0.02590711	0.0
Doxorubicin	ENSG00000183632	12552.36	0.7959643	-0.09016151	0.0
Doxorubicin	ENSG00000169239	12552.36	0.7959643	-0.04138452	0.0
Doxorubicin	ENSG00000106537	12552.36	0.7959643	-0.0280258	0.0
Doxorubicin	ENSG00000160785	12552.36	0.7959643	-0.0212436	0.0
Doxorubicin	ENSG00000162545	12552.36	0.7959643	-0.00384586	0.0
Doxorubicin	ENSG00000135821	12550.73	0.79585459	-0.02861571	0.0
Doxorubicin	ENSG00000075856	12550.57	0.79584382	-0.05353866	0.0
Doxorubicin	ENSG00000153904	12550.43	0.7958344	-0.00053323	0.0
Doxorubicin	ENSG00000116199	12549.39	0.79576441	-0.00220092	0.0
Doxorubicin	ENSG00000171208	12549.08	0.79574354	-0.05812674	0.0
Doxorubicin	ENSG00000164251	12545.42	0.79549721	-0.00122453	0.0
Doxorubicin	ENSG00000179262	12542.52	0.79530202	0.03799842	0.0
Doxorubicin	ENSG00000087365	12539.73	0.79511425	-0.00811169	0.0
Doxorubicin	ENSG00000134115	12539.51	0.79509944	-0.05092034	0.0
Doxorubicin	ENSG00000101216	12539.33	0.79508732	0.02772186	0.0
Doxorubicin	ENSG00000128886	12539.06	0.79506915	0.08449991	0.0
Doxorubicin	ENSG00000011132	12537.37	0.79495541	0.0132725	0.0
Doxorubicin	ENSG00000242247	12534.93	0.79479119	-0.03809552	0.0
Doxorubicin	ENSG00000113396	12532.95	0.79465792	0.01212505	0.0
Doxorubicin	ENSG00000111145	12532.21	0.79460812	-0.13274279	0.13
Doxorubicin	ENSG00000113273	12526.93	0.79425275	-0.00135741	0.0
Doxorubicin	ENSG00000099284	12526.07	0.79419487	-0.11672588	0.05
Doxorubicin	ENSG00000143416	12525.41	0.79415045	0.16383717	0.69
Doxorubicin	ENSG00000152558	12523.07	0.79399296	-0.09103968	0.0
Doxorubicin	ENSG00000108799	12522.68	0.79396671	-0.04785644	0.0
Doxorubicin	ENSG00000131748	12519.97	0.79378431	0.04285398	0.0
Doxorubicin	ENSG00000140650	12516.73	0.79356625	0.10137316	0.0
Doxorubicin	ENSG00000174080	12511.89	0.79324049	-0.00099186	0.0
Doxorubicin	ENSG00000137942	12511.52	0.79321559	0.10045985	0.0
